Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%)
Routenpunkt (Way);T;Bahnhofstraße;49.9725737;8.7970764;30.0;;;;;;Original OSM;158.3;-1.47
Routenpunkt (Way);T;;49.9726408;8.797090274999999;30.0;;;;;;Interpoliert (15m);158.2;-1.8
Routenpunkt (Way);T;Bahnhofstraße;49.9727079;8.79710415;30.0;;;;;;Original OSM;157.9;-2.26
Routenpunkt (Way);T;Bahnhofstraße;49.9728163;8.7971687;30.0;;;;;;Original OSM;157.6;-3.12
Routenpunkt (Way);T;Bahnhofstraße;49.9728994;8.797223333333333;30.0;;;;;;Interpoliert;157.3;-3.26
Routenpunkt (Way);T;Bahnhofstraße;49.9729825;8.797277966666668;30.0;;;;;;Interpoliert;156.8;-2.79
Routenpunkt (Way);T;Bahnhofstraße;49.9730656;8.7973326;30.0;;;;;;Original OSM;156.6;-2.65
Routenpunkt (Way);T;Bahnhofstraße;49.97316456666667;8.797405166666667;30.0;;;;;;Interpoliert;156.4;-2.38
Routenpunkt (Way);T;Bahnhofstraße;49.97326353333333;8.797477733333332;30.0;;;;;;Interpoliert;156.2;-1.78
Routenpunkt (Way);T;Bahnhofstraße;49.9733625;8.7975503;30.0;;;;;;Original OSM;156.0;-1.78
Routenpunkt (Way);T;Bahnhofstraße;49.9734447;8.79761295;30.0;;;;;;Interpoliert;155.8;-1.86
Routenpunkt (Way);T;;49.973523400000005;8.797678175;30.0;;;;;;Interpoliert (15m);155.6;-1.93
Routenpunkt (Way);T;Bahnhofstraße;49.9736021;8.7977434;30.0;;;;;;Original OSM;155.4;-2.01
Routenpunkt (Way);T;;49.9736734;8.797825;30.0;;;;;;Interpoliert (15m);155.2;-1.62
Routenpunkt (Way);T;Bahnhofstraße;49.9737447;8.797906600000001;30.0;;;;;;Interpoliert;155.0;-1.86
Routenpunkt (Way);T;Bahnhofstraße;49.9738129;8.797998;30.0;;;;;;Original OSM;155.0;-2.09
Routenpunkt (Way);T;Bahnhofstraße;49.97390096666667;8.798106966666667;30.0;;;;;;Interpoliert;154.6;-2.36
Routenpunkt (Way);T;Bahnhofstraße;49.97398903333333;8.798215933333333;30.0;;;;;;Interpoliert;154.2;-2.62
Routenpunkt (Way);T;;49.97406548666667;8.798332176666666;30.0;;;;;;Interpoliert (15m);153.8;-3.48
Routenpunkt (Way);T;Bahnhofstraße;49.97414194;8.79844842;30.0;;;;;;Original OSM;153.4;-3.7
Routenpunkt (Way);T;;49.9741878075;8.798557435;30.0;;;;;;Interpoliert (15m);153.0;-3.74
Routenpunkt (Way);T;Bahnhofstraße;49.974233675;8.79866645;50.0;;;;;;Interpoliert;152.6;-3.75
Routenpunkt (Way);T;Bahnhofstraße;49.97428825;8.798807400000001;50.0;;;;;;Interpoliert;152.2;-3.61
Routenpunkt (Way);T;Bahnhofstraße;49.974342825;8.79894835;50.0;;;;;;Interpoliert;151.8;-3.43
Routenpunkt (Way);T;Bahnhofstraße;49.97445282;8.79902108;50.0;;;;;;Original OSM;151.44;-2.57
Routenpunkt (Way);T;;49.97454163;8.79889912;50.0;;;;;;Interpoliert (15m);151.0;-1.89
Routenpunkt (Way);T;Bodajker Platz;49.974630440000006;8.79877716;;;;;;;Original OSM;151.0;-1.51
Haltestelle;W;Rödermark-Urberach Bf;49.9747022;8.7988089;;07:52:00;07:52:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 100m) | Auf Route gesnappt (100m);151.0;-1.12
